tab,status,away_sp,home_sp,away_team,home_team,away_wpct,home_wpct,away_fair,home_fair,away_book,home_book,away_edge,home_edge,away_ev,home_ev,away_team_wins,home_team_wins,away_bullpen_war,home_bullpen_war,away_off,home_off,away_total_era,home_total_era,away_pitcher_era,home_pitcher_era,totals_book_line,away_rs_162,away_ra_162,home_rs_162,home_ra_162,park_factor,away_pa_runs,home_pa_runs,away_rg_per_game,home_rg_per_game,predicted_total,total_under_odds,total_over_odds,league_avg_off,league_avg_era
SD@WAS,ok,Griffin Canning SDN,Zack Littell WAS,SDN,WAS,0.48853699716891896,0.5114630028310811,104.69278801708339,-104.69278801708344,-129,-104,-0.07478178012365744,0.0016590812624537321,-0.13275215231253917,0.0032543517071207616,69.65286037089442,67.4332920090256,0.0,0.0,5.049392056530538,4.8775032423903335,4.4609,4.5228,4.4609,4.5228,5.0,417.68867740268206,429.786854676259,403.46993371339346,435.7506302158274,1.02,3.144981295244212,2.742860444558701,2.998686577663249,2.7302215653886543,5.5699745463008945,-112.69607211765533,112.69607211765529,4.856832043536459,4.17
MIN@PIT,ok,Zebby Matthews MIN,Braxton Ashcraft PIT,MIN,PIT,0.45845717044584144,0.5415428295541584,118.12288354602846,-118.12288354602842,122,-159,0.008006719995390987,-0.07235678434545545,0.017774918389767934,-0.11786419588347777,70.74992817768025,73.05892699867933,0.0,0.0,4.761967161332869,4.922034691549934,4.0278,4.0578,4.0278,4.0578,4.0,393.9127212115899,388.05969496402884,407.15360134982546,390.950054676259,1.0,2.4227542695285287,2.7645602369481077,2.394444784446289,2.596074472262747,4.793724006941435,121.44126908830039,-121.44126908830042,4.856832043536459,4.17
BOS@CLE,ok,Ranger Suarez BOS,Tanner Bibee CLE,BOS,CLE,0.5330076585068652,0.46699234149313484,-114.13627401311479,114.13627401311479,-124,-106,-0.020563770064563447,-0.047570765302981655,-0.037147455600501686,-0.09244884577749268,74.58186250969611,65.37343774969125,0.0,0.0,4.741872071323428,4.397592204083927,3.5638,4.1409,3.5638,4.1409,4.0,392.25044356026837,343.3554647482014,363.7714106799328,398.9563510791367,0.96,2.2714124477652393,1.539238630562873,2.2898192795633836,1.690772919247078,4.150533319292811,-144.16264243384862,144.16264243384862,4.856832043536459,4.17
ATL@CIN,ok,Spencer Strider ATL,Nick Lodolo CIN,ATL,CIN,0.4695995563743217,0.5304004436256783,112.94739026603587,-112.94739026603587,-131,100,-0.09750001072524539,0.030400443625678286,-0.1719274998284861,0.06080088725135653,73.67311085564396,74.13650860752847,0.0,0.0,4.7581395751466005,4.87428230535309,3.7622,3.7672,3.7622,3.7672,4.5,393.59610103357863,362.4703769784172,403.2034959093922,362.9521035971223,1.06,2.441124870369266,2.3841861157232604,2.3838692310239016,2.3822136457238843,4.706854767403046,-128.72731512062495,128.72732200359775,4.856832043536459,4.17
LAA@TB,ok,Jack Kochanowicz LAA,Shane McClanahan TBA,LAA,TBA,0.3740113001009447,0.6259886998990553,167.37160073241174,-167.37160073241168,146,-197,-0.03249276493970571,-0.03731096340060802,-0.07993220175167615,-0.05625053873086596,61.95888076925246,77.78797172919009,0.0,0.0,4.680229924710462,4.8615768367994425,4.8162,3.37,4.8162,3.37,4.5,387.1513689780655,464.0183482014388,402.15249208625056,324.68374100719427,0.9,1.9148889282269321,2.9608302464756453,1.8265492559174101,2.7706141855784834,4.31860770828921,-125.33559291470567,125.33561206168987,4.856832043536459,4.17
MIA@NYM,ok,Janson Junk MIA,Nolan McLean NYN,MIA,NYN,0.40117104159873085,0.5988289584012693,149.27023546237032,-149.27023546237038,135,-170,-0.024360873294886176,-0.030800671228360388,-0.05724805224298244,-0.04891871312739589,65.87756512051895,77.28478821794232,0.0,0.0,4.752504976015629,5.146811646940319,4.5948,3.8822,4.5948,3.8822,4.0,393.1300036831727,442.6874935251799,425.74728315478353,374.03181582733816,0.98,2.1182796873936827,3.079539548159196,2.1661691197521726,2.9587080636751866,5.051935131301839,121.2878755339354,-121.28787553393539,4.856832043536459,4.17
DET@CHW,ok,Keider Montero DET,Sean Burke CHA,DET,CHA,0.4986724908664067,0.5013275091335933,100.53241723091118,-100.53241723091114,110,-143,0.02248201467593053,-0.08714985712155077,0.04721223081945403,-0.14809381315060727,64.44358163842391,60.990344404701865,0.0,0.0,4.817157100304704,4.370575198053029,4.7352,4.6433,4.7352,4.6433,4.0,398.4780653870865,456.2143769784173,361.5365480687336,447.3602417266187,0.96,2.6560307348595424,2.168624227468743,2.6426992299481897,2.3007241307270476,5.0621917590221885,121.44126908830042,-121.44126908830042,4.856832043536459,4.17
MIL@HOU,ok,Jacob Misiorowski MIL,Tatsuya Imai HOU,MIL,HOU,0.5004552188594472,0.4995447811405529,-100.18225347421621,100.18225347421617,-190,144,-0.1547171949336562,0.0897087155667824,-0.23614729753031743,0.218889265982949,73.74315803662412,69.5000098721189,0.0,0.0,5.120810379361342,4.814907292757094,4.1042,4.2833,4.1042,4.2833,4.0,423.59644302506734,395.4204776978417,398.29195998500023,412.6759251798561,1.02,3.0422910665878335,2.392564953353984,2.890922642937651,2.4303790952442466,5.207747456421977,141.20595669861729,-141.20595669861729,4.856832043536459,4.17
KC@TEX,ok,Michael Wacha KCA,Jack Leiter TEX,KCA,TEX,0.5073894691382653,0.4926105308617346,-103.00012633726638,103.00012633726642,-116,-112,-0.029647567898771765,-0.035691355930718205,-0.05520581608736805,-0.06755863801171663,71.42530261241043,66.27074877113569,0.0,0.0,5.025356094390384,4.363529011979469,4.2725,4.3994,4.2725,4.3994,4.0,415.70040849347004,411.6353956834533,360.9536834171382,423.861617266187,0.85,2.5394683341463584,2.1462721938075875,2.4203007660586175,2.0433587488117224,4.2415785017867345,-113.34841499048238,113.34841499048238,4.856832043536459,4.17
SF@COL,ok,Robbie Ray SFN,Tanner Gordon COL,SFN,COL,0.5346250080197105,0.46537499198028953,-114.88047644003052,114.88047644003052,-127,-4,-0.02484635761905607,0.4269134535187511,-0.044410418736422985,11.099749791487527,68.62518515047877,59.62661140073836,0.0,0.0,4.825707005896987,4.254275069668988,4.3807,4.7132,4.3807,4.7132,5.5,399.18531860069663,422.05995971223024,351.9161331232026,454.09477985611517,1.25,3.6360212624255777,2.4514877708014806,3.5586923854656862,2.6520463659836944,6.333968469671703,103.15378787271953,-103.15363409742677,4.856832043536459,4.17
