Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Kody Hoese NA,R,0.002567568,0,-0.131756757,0.131756757,0.016689189,0,9.693877551,-0.032518643,0.085715808,0.085625491,-0.032484379,0.26942981,0.998946328,
Sean Roby NA,R,0.008823529,0,-0.135294118,0.135294118,0.017058824,0,9.777777778,-0.032857143,0.085714286,0.085932293,-0.032940712,0.270345857,1.002543414,
Greg Deichmann NA,L,0.005263158,-0.031578947,-0.131578947,0.131578947,-0.050526316,0,9.668874172,-0.032051282,0.085897436,0.086176966,-0.032155584,0.270509446,1.003254235,
Lamar Sparks NA,R,0.008076923,0,-0.132692308,0.132692308,-0.050384615,0,9.691629956,-0.03242153,0.085517659,0.085774791,-0.032519014,0.270437706,1.003006769,
Logan Porter SFN,R,0.001666667,-0.004166667,-0.129166667,0.129166667,0.08375,0.006,9.672897196,-0.032263287,0.085341597,0.085433819,-0.032298151,0.269898344,1.001080625,
Brandon Butterworth BAL,R,0.013529412,0,-0.135294118,0.135294118,0.050588235,0,9.646017699,-0.032857143,0.085714286,0.085462716,-0.032760708,0.268779814,0.997065018,
Jose Fernandez ARI,R,0.010588235,0,-0.135294118,0.135294118,0.050588235,0,9.719626168,-0.032857143,0.085714286,0.092044862,-0.035283864,0.289474187,1.073856721,
Coco Montes NA,R,0.009375,-0.01875,-0.1375,0.13125,0.016875,0,10,-0.033333333,0.084848485,0.084988023,-0.033388152,0.26991917,1.001644562,
Luis Diaz NA,R,0.012941176,0,-0.135294118,0.135294118,0.017058824,0,9.622641509,-0.032857143,0.085714286,0.085640919,-0.032829019,0.269235353,0.999144059,
Joseph Naranjo NA,L,0.0052,0,-0.132,0.132,-0.084,0,9.704433498,-0.032288771,0.085124942,0.085359938,-0.032377908,0.270074517,1.002760607,
Sean Keys TOR,L,0.007368421,0,-0.136842105,0.131578947,-0.084210526,0,9.689440994,-0.033333333,0.085897436,0.097536883,-0.037850134,0.305783281,1.135504009,
Cam Devanney NA,R,0.005359477,-0.006535948,-0.130718954,0.130065359,0.016601307,0,9.699570815,-0.032720011,0.085235629,0.085027228,-0.032640011,0.268631589,0.997555011,
Delino DeShields NA,R,0.00625,-0.05625,-0.1375,0.13125,0.016875,0,9.692307692,-0.033333333,0.084848485,0.084868217,-0.033341085,0.269344625,1.000232563,
Nick Ward NA,L,0.010526316,0,-0.136842105,0.131578947,0.016842105,0,9.76744186,-0.033333333,0.085897436,0.086166101,-0.033437591,0.270121236,1.003127745,
Nick Podkul NA,R,0.007647059,0,-0.135294118,0.135294118,-0.084705882,0,9.703703704,-0.032857143,0.085714286,0.085904064,-0.032929891,0.269858167,1.002214078,
Michael Perez NA,L,0.001578947,0.010526316,-0.136842105,0.131578947,0.084210526,-0.0145,9.66442953,-0.033333333,0.084615385,0.084907752,-0.033448509,0.270159255,1.003455256,
Francisco Mejia NA,B,0.003846154,-0.015384615,-0.132692308,0.130769231,0.083269231,-0.0488,9.674796748,-0.032756809,0.085452546,#N/A,#N/A,#N/A,#N/A,
Jacob Rucker MIN,R,0.006190476,0,-0.133333333,0.132142857,0.016666667,0,9.680851064,-0.03283803,0.085173641,0.084398979,-0.032539365,0.266730794,0.990904915,
Livan Soto NA,L,0.005581395,0.011627907,-0.133139535,0.131976744,0.016627907,0,9.689655172,-0.032818122,0.085269794,0.085559141,-0.032929484,0.270090401,1.00339331,
Jos̩ Alvarez NA,R,0.011176471,0,-0.135294118,0.135294118,-0.050588235,0,9.710144928,-0.032857143,0.085714286,0.085947931,-0.032946707,0.269876647,1.002725863,
Ramon Hernandez NA,R,0.008823529,0,-0.135294118,0.135294118,0.017058824,0,9.777777778,-0.032857143,0.085714286,0.085870434,-0.032917,0.269614272,1.001821733,
Colby Shade MIA,R,0.026470588,0,-0.135294118,0.135294118,-0.050588235,0,9.761904762,-0.032857143,0.085714286,0.084673169,-0.032458048,0.26578202,0.987853633,
Javier Jasso MIA,R,0.007058824,0,-0.135294118,0.135294118,0.017058824,0,9.761904762,-0.032857143,0.085714286,0.083857074,-0.032145212,0.263207648,0.978332527,
Christopher Suero NYN,R,0.015294118,0,-0.135294118,0.135294118,-0.118235294,0,9.668508287,-0.032857143,0.085714286,0.084643199,-0.03244656,0.265672149,0.987503992,
Trevor Schwecke NA,R,0.007954545,0,-0.134090909,0.131818182,0.016590909,0,9.702970297,-0.033108021,0.08529524,0.085560153,-0.033210849,0.269786319,1.003105841,
John Hicks NA,R,0,0,-0.1375,0.13125,0.085,-0.0005,9.689922481,-0.033333333,0.084848485,0.085099933,-0.033432116,0.269700895,1.002963493,
Cristian Santana LAN,R,0.01,0,-0.135294118,0.135294118,-0.084705882,0,9.694656489,-0.032857143,0.084285714,0.084326463,-0.032873028,0.269005992,1.000483464,
Baron Radcliff NA,L,0.008421053,0,-0.136842105,0.131578947,-0.117894737,0,9.688888889,-0.033333333,0.084615385,0.084543522,-0.033305024,0.268643651,0.999150715,
Payton Henry NYA,R,0.0075,0,-0.1375,0.13125,0.085,0.0005,9.652777778,-0.033333333,0.084848485,0.083770645,-0.032909896,0.265431807,0.98729689,
Brian Anderson NA,R,0.00247619,-0.023809524,-0.134285714,0.131428571,-0.05,0,9.677018634,-0.033147741,0.084867622,0.085286456,-0.03331133,0.270161741,1.00493515,
Dru Baker CHA,R,0.015882353,0,-0.135294118,0.131372549,0.016666667,0,9.668874172,-0.033288222,0.084909088,0.085137495,-0.033377768,0.269552155,1.002690019,
Narciso Crook NA,R,0.011875,-0.01875,-0.1375,0.13125,-0.050625,0,9.714285714,-0.033333333,0.084848485,0.084945877,-0.033371595,0.269117549,1.001147837,
