RG,r,B,z
0.05,0.16,0.6131174851513834,0.9624544635247309
0.1,0.239,0.618673040706939,0.926468699100772
0.15,0.317,0.6242285962624945,0.8919717242409982
0.2,0.394,0.62978415181805,0.858896065850588
0.25,0.46900000000000003,0.6357777777777778,0.8271775730363358
0.3,0.543,0.6408952629291613,0.7967552406247053
0.35,0.616,0.6464508184847169,0.767571042734905
0.4,0.688,0.6520063740402724,0.7395697757956967
0.45,0.758,0.6575619295958279,0.7126989104340904
0.5,0.8259999999999998,0.6635555555555557,0.6869084517008923
0.55,0.895,0.668673040706939,0.6621508071323486
0.6,0.962,0.6742285962624945,0.6383806621790669
0.65,1.027,0.6797841518180501,0.6155548625632155
0.7,1.092,0.6853397073736058,0.5936323031527718
0.75,1.155,0.6913333333333334,0.5725738229675605
0.8,1.218,0.6964508184847167,0.5523421059559636
0.85,1.28,0.7020063740402722,0.5329015872038376
0.9,1.34,0.707561929595828,0.5142183642582375
0.95,1.4,0.7131174851513833,0.4962601132682384
1.0,1.457,0.7191111111111111,0.47899600966359757
1.05,1.516,0.7242285962624946,0.46239665310915906
1.1,1.516,0.749,0.4464339964890244
1.15,1.629,0.7353397073736054,0.43108127868951485
1.2,1.684,0.7408952629291612,0.41631296096405007
1.25,1.737,0.746888888888889,0.40210466667620853
1.3,1.792,0.7520063740402723,0.3884331242295397
1.35,1.844,0.7575619295958278,0.3752761130042496
1.4,1.896,0.7631174851513833,0.3626124121316532
1.45,1.947,0.7686730407069391,0.3504217519473934
1.5,1.996,0.7746666666666666,0.338684767973907
1.55,2.047,0.7797841518180502,0.32738295729147104
1.6,2.096,0.7853397073736057,0.3164986371654862
1.65,2.145,0.7908952629291615,0.30601490580545004
1.7,2.192,0.7964508184847168,0.2959156051383661
1.75,2.238,0.8024444444444444,0.2861852854862004
1.8,2.285,0.8075619295958278,0.27680917204342437
1.85,2.331,0.8131174851513834,0.267773133056715
1.9,2.376,0.8186730407069389,0.2590636496145358
1.95,2.42,0.8242285962624947,0.2506677869596595
2.0,2.463,0.8302222222222223,0.24257316724266226
2.25,2.673,0.8580000000000001,0.20622131629968812
2.5,2.87,0.885777777777778,0.17582222821383428
2.75,3.055,0.9135555555555556,0.15032109257531942
3.0,3.229,0.9413333333333331,0.12886373375912558
3.05,3.262,0.946888888888889,0.12499399274566737
3.1,3.296,0.9524444444444445,0.12125294051979879
3.15,3.328,0.9579999999999997,0.11763588519859333
3.2,3.361,0.9635555555555556,0.11413832089441613
3.25,3.393,0.9691111111111111,0.11075591975363665
3.3,3.424,0.9746666666666665,0.1074845243611172
3.35,3.456,0.9802222222222221,0.10432014049253599
3.4,3.487,0.9857777777777776,0.1012589301975304
3.45,3.517,0.9913333333333332,0.09829720519753538
3.5,3.548,0.9968888888888888,0.09543142058302614
3.55,3.577,1.0024444444444442,0.09265816879566513
3.6,3.607,1.0079999999999998,0.08997417388159847
3.65,3.636,1.0131174851513833,0.08737628600285455
3.7,3.667,1.0186730407069389,0.08486147619446449
3.75,3.696,1.0242285962624944,0.08242683135555524
3.8,3.724,1.02978415181805,0.08006954946326265
3.85,3.752,1.035339707373606,0.07778693499888088
3.9,3.78,1.040895262929161,0.07557639457619403
3.95,3.807,1.0464508184847165,0.0734354327624442
4.0,3.834,1.0520063740402725,0.07136164808287151
4.05,3.861,1.0575619295958276,0.06935272920021339
4.1,3.888,1.0631174851513832,0.06740645126097808
4.15,3.914,1.0686730407069387,0.06552067240071831
4.2,3.94,1.0742285962624942,0.06369333040091436
4.25,3.966,1.0797841518180502,0.06192243949044213
4.3,3.991,1.0853397073736053,0.06020608728494394
4.35,4.017,1.0908952629291608,0.058542431857756545
4.4,4.042,1.0964508184847164,0.056929698936350984
4.45,4.066,1.1020063740402724,0.05536617921854331
4.5,4.091,1.1075619295958279,0.05385022580300901
4.55,4.115,1.1131174851513834,0.052380251728900665
4.6,4.139,1.118673040706939,0.050954727619621595
4.65,4.163,1.1242285962624945,0.049572179426044756
4.7,4.186,1.12978415181805,0.04823118626469336
4.75,4.21,1.1353397073736056,0.046930378346615335
4.8,4.233,1.1408952629291607,0.04566843499288722
4.85,4.256,1.1464508184847166,0.044444082732875784
4.9,4.278,1.1520063740402726,0.04325609348157238
4.95,4.301,1.1575619295958277,0.04210328279248672
5.0,4.323,1.1631174851513832,0.04098450818275356
5.05,4.345,1.1686730407069388,0.039898667527265036
5.1,4.367,1.1742285962624939,0.03884469751878879
5.15,4.389,1.1797841518180503,0.03782157219117544
5.2,4.41,1.1853397073736054,0.036828301502894845
5.25,4.431,1.190895262929161,0.03586392997826669
5.3,4.452,1.1964508184847165,0.03492753540387703
5.35,4.473,1.202006374040272,0.03401822757778442
5.4,4.493,1.2075619295958275,0.03313514710923312
5.45,4.514,1.213117485151383,0.03227746426669336
5.5,4.534,1.2186730407069386,0.03144437787215108
5.55,4.554,1.2242285962624946,0.030635114239662375
5.6,4.574,1.2297841518180501,0.02984892615628014
5.65,4.594,1.2353397073736057,0.029085091903545354
5.7,4.613,1.2408952629291607,0.028342914317817835
5.75,4.633,1.2464508184847163,0.027621719887800173
5.8,4.652,1.2520063740402714,0.026920857887680817
5.85,4.671,1.2575619295958274,0.026239699544395156
5.9,4.69,1.263117485151383,0.025577637237569794
5.949999999999995,4.708,1.2686730407069389,0.024934083730779034
5.999999999999995,4.727,1.274228596262494,0.02430847143280488
6.0499999999999945,4.745,1.2797841518180495,0.023700251687648874
6.099999999999994,4.763,1.285339707373605,0.023108894092100287
6.149999999999994,4.781,1.2908952629291606,0.022533885839718173
6.199999999999994,4.799,1.296450818484716,0.02197473109013433
6.249999999999994,4.817,1.3020063740402712,0.02143095036263379
6.299999999999994,4.835,1.3075619295958272,0.020902079953013165
6.349999999999993,4.852,1.3131174851513827,0.02038767137276357
6.399999999999993,4.869,1.3186730407069382,0.01988729080966333
6.449999999999993,4.887,1.3242285962624938,0.01940051860890827
6.499999999999993,4.904,1.3297841518180493,0.018926948773943915
6.549999999999993,4.92,1.3353397073736049,0.01846618848619937
6.5999999999999925,4.937,1.3408952629291604,0.018017857642959618
6.649999999999992,4.954,1.346450818484716,0.017581588412642388
6.699999999999992,4.97,1.3520063740402715,0.01715702480678104
6.749999999999992,4.987,1.3575619295958274,0.016743822268041334
6.799999999999992,5.003,1.3631174851513825,0.016341647273631372
6.849999999999992,5.019,1.368673040706938,0.015950176953489305
6.8999999999999915,5.035,1.374228596262494,0.015569098722661021
6.949999999999991,5.051,1.3797841518180491,0.015198109927303851
6.999999999999991,5.066,1.3853397073736042,0.01483691750377687
7.25,5.143,1.4131174851513837,0.013168274676747794
7.5,5.217,1.4408952629291614,0.011705554063699592
7.75,5.288,1.4686730407069395,0.010421145684308925
8.0,5.356,1.4964508184847167,0.009291429017771786
8.25,5.422,1.5242285962624949,0.008296156002846512
8.5,5.486,1.552006374040272,0.007417935584365561
8.75,5.547,1.5797841518180502,0.006641802109482168
9.0,5.606,1.6075619295958279,0.005954853128506097
9.25,5.663,1.6353397073736056,0.005345944779246172
9.5,5.719,1.6631174851513837,0.004805435057095323
9.75,5.772,1.6908952629291614,0.004324966995714438
10.0,5.824,1.718673040706939,0.003897285184271229
10.25,5.874,1.7464508184847167,0.0035160801896182577
10.5,5.923,1.7742285962624944,0.0031758563855657273
10.75,5.97,1.8020063740402725,0.0028718194564411226
11.0,6.016,1.8297841518180502,0.0025997804703708645
11.25,6.06,1.8575619295958279,0.002356073934795964
11.5,6.104,1.885339707373606,0.0021374876732557922
11.75,6.146,1.9131174851513837,0.0019412027150612157
12.0,6.186,1.940895262929161,0.001764741681561839
12.25,6.226,1.968673040706939,0.0016059243951752422
12.5,6.265,1.9964508184847172,0.001462829639025153
12.75,6.302,2.0242285962624944,0.0013337621631226541
13.0,6.339,2.0520063740402725,0.0012172241733862453
13.25,6.374,2.0797841518180498,0.0011118906572281497
13.5,6.409,2.1075619295958283,0.0010165879978641273
13.75,6.443,2.1353397073736056,0.0009302754121568294
14.0,6.476,2.1631174851513832,0.0008520288163308314
14.25,6.509,2.190895262929161,0.000781026782487215
14.5,6.541,2.2186730407069386,0.00071653829830199
14.75,6.572,2.2464508184847163,0.0006579120841097161
15.0,6.602,2.274228596262495,0.0006045672569892914
