Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Nasim Nunez WAS,B,0.011465039,0.015760266,-0.029707732,0.127229005,0.025760266,0,9.682962868,-0.00758793,0.110473839,0.106522346,-0.007316521,0.289819998,0.964231406,
Niko Hulsizer NA,R,0,0,-0.028571429,0.142857143,-0.052857143,0,9.772727273,-0.006666667,0.11,0.109884579,-0.006659671,0.300228644,0.998950716,
Thomas White OAK,R,0,0,-0.028571429,0.142857143,0.017142857,0,9.684210526,-0.006666667,0.11,0.109252357,-0.006621355,0.2984248,0.993203247,
Tim Elko CHA,R,0.002768166,0.003114187,-0.030795848,0.130449827,-0.083321799,0,9.683257919,-0.007666705,0.110348866,0.109007259,-0.007573494,0.296773461,0.987842134,
Oscar Gonzalez NA,R,0.005113636,-0.020454545,-0.031818182,0.134090909,-0.05,0,9.672619048,-0.007695545,0.110211201,0.109181026,-0.007623613,0.297521742,0.990652724,
Aidan Miller PHI,R,0.008051576,0,-0.031805158,0.131805158,0.033295129,0,9.683941892,-0.007850192,0.110185577,0.109895677,-0.007829538,0.299442084,0.997368981,
Daylen Lile WAS,L,0.009402289,-0.003633491,-0.032810513,0.135396354,-0.063005511,0,9.682737896,-0.007875505,0.110196026,0.106894189,-0.007639529,0.291220537,0.970036697,
Bryan De La Cruz PHI,R,-0.006041667,-0.029340278,-0.033854167,0.139409722,-0.049965278,0,9.683860233,-0.0078928,0.110175389,0.108380617,-0.007764225,0.295285111,0.983709873,
Drew Ellis NA,R,0,0.0375,-0.0375,0.1375,-0.0875,0,9.756097561,-0.008823529,0.108823529,0.108336525,-0.008784043,0.298756005,0.995524827,
Christian Cerda ARI,R,0.006,0,-0.033333333,0.126666667,0.082,0,9.679715302,-0.008375739,0.110559749,0.111967329,-0.008482373,0.303910563,1.012731391,
Brennan Milone OAK,R,0.003071429,0,-0.032857143,0.132142857,-0.083642857,0,9.667896679,-0.008075567,0.110073487,0.107008287,-0.007850688,0.291690665,0.972153153,
Juan Brito CLE,B,0.003946054,0,-0.032567433,0.131768232,0.016663337,0,9.682706125,-0.008034353,0.110041065,0.108623997,-0.00793089,0.296171263,0.987122379,
Eduardo Escobar NA,B,-0.0125,-0.0375,-0.0375,0.125,0.01625,0,9.772727273,-0.009677419,0.109677419,0.109129982,-0.009629116,0.298417028,0.995008662,
Jeong Choi NA,R,-0.014285714,0,-0.028571429,0.142857143,0.017142857,0,9.647058824,-0.006666667,0.11,0.111174008,-0.006737819,0.303094709,1.010672801,
Jacob Young WAS,R,0.01645331,0.037352039,-0.031126699,0.123629987,0.016663744,0,9.682998619,-0.008181819,0.109889891,0.108652558,-0.008089693,0.296466843,0.988740251,
Jose Miranda SDN,R,-0.003553719,-0.003099174,-0.034090909,0.135330579,-0.033305785,0,9.683317009,-0.008182371,0.109891717,0.108902446,-0.008108711,0.297140771,0.990997769,
Oswaldo Cabrera NYA,B,0.002411111,-0.016555556,-0.031777778,0.126222222,-0.029644444,0,9.683517623,-0.008179214,0.109876021,0.104824663,-0.007803189,0.28605538,0.954026748,
Pablo Reyes SDN,R,0.000263158,-0.007017544,-0.033333333,0.133333333,-0.049912281,0,9.68627451,-0.008143447,0.10993654,0.111555827,-0.008263395,0.304205693,1.014729287,
Junwoo Jeon NA,R,-0.015714286,0,-0.028571429,0.142857143,-0.028571429,0,9.607843137,-0.006666667,0.11,0.108939049,-0.006602367,0.296886638,0.990354989,
Henry Bolte OAK,R,0.010666667,0,-0.033333333,0.133333333,-0.050666667,0,9.677419355,-0.008110713,0.110305702,0.111658184,-0.008210161,0.303407078,1.012261213,
Jon Berti NA,R,0.010101925,-0.03193658,-0.033069083,0.128539071,0.021426954,0,9.682777602,-0.008363071,0.109722344,0.108839935,-0.008295813,0.297216349,0.991957804,
Taylor Jones NA,R,0,0,-0.0375,0.1375,-0.0875,0,10,-0.008823529,0.108823529,0.108091602,-0.008764184,0.297589912,0.993274184,
Brendan Rodgers BOS,R,4.42E-05,-0.018584071,-0.034955752,0.135840708,0.016681416,0,9.684119429,-0.008366707,0.109720362,0.1091747,-0.008325098,0.298112018,0.995026796,
Nicholas Cimillo PIT,R,0,0,-0.042857143,0.142857143,-0.088571429,0,10,-0.01,0.11,0.107996773,-0.009817888,0.294143939,0.981788848,
