Full Name,Hand,WAR/GS,ERA,xWAR/GS,SIERA,ERA Change,bpWAR/GS,WAR/IP,Updated WAR/GS,Updated xWAR/GS,Updated WAR/IP,Updated ERA
Mitchell Bratt ARI,L,0.051728397,4.3174,0.051743331,4.08,-0.038500105,0.018155555,0.009077777,0.052189681,0.052204749,0.009158728,4.278899895
Ryan Borucki CHA,L,#DIV/0!,4.3179,0.050033336,4.24,0.055100085,0.017555556,0.008777778,#DIV/0!,0.049394868,0.008665766,4.373000085
Zac Gallen ARI,R,0.069100064,4.3198,0.065929997,3.95,0.02889988,0.023133332,0.011566666,0.068637778,0.065488919,0.011489284,4.34869988
Brandon Sproat MIL,R,0.053693415,4.3228,0.054150001,4.25,0.019399778,0.019,0.0095,0.053452451,0.053906988,0.009457366,4.342199778
Brad Lord WAS,R,0.051406525,4.3257,0.054023333,4.2,0.036100022,0.018955555,0.009477778,0.050977513,0.053572482,0.009398681,4.361800022
John King MIA,L,#DIV/0!,4.3278,0.055986666,4.31,-0.025999958,0.019644444,0.009822222,#DIV/0!,0.056323015,0.009881231,4.301800042
Noah Schultz CHA,L,0.045720166,4.336,0.045726667,4.37,-0.174000053,0.016044444,0.008022222,0.047554878,0.04756164,0.008344147,4.161999947
Andrew Kittredge BAL,R,#DIV/0!,4.3371,0.064663333,3.95,-0.019499869,0.022688889,0.011344444,#DIV/0!,0.064954064,0.01139545,4.317600131
Joe Mantiply TOR,L,#DIV/0!,4.3402,0.053580001,4.3,-0.083100044,0.0188,0.0094,#DIV/0!,0.054605876,0.009579978,4.257099956
Jhonathan Diaz SEA,L,#DIV/0!,4.3406,0.045599998,4.38,-0.006399946,0.015999999,0.008,#DIV/0!,0.045667232,0.008011795,4.334200054
Luis Garcia FA,R,0.057582668,4.3408,0.057379999,3.9,-0.017300082,0.020133333,0.010066667,0.057812162,0.057608685,0.010106787,4.323499918
Joe Jacques NYN,L,#DIV/0!,4.343,0.045663333,4.44,0.0705001,0.016022222,0.008011111,#DIV/0!,0.044922078,0.007881066,4.4135001
Dedniel Nunez NYN,R,#DIV/0!,4.3436,0.053643335,4.16,0.008100127,0.018822223,0.009411111,#DIV/0!,0.053543299,0.009393561,4.351700127
Eric Jokisch FA,L,0.054161916,4.3449,0.053959998,4.32,-0.032400089,0.018933333,0.009466666,0.054565803,0.05436238,0.00953726,4.312499911
Jordan Hicks CHA,R,#DIV/0!,4.3457,0.055416666,4.22,0.15640017,0.019444444,0.009722222,#DIV/0!,0.05342224,0.009372323,4.50210017
Lance McCullers Jr. HOU,R,0.049891976,4.3467,0.053959998,4.19,-0.108099987,0.018933333,0.009466666,0.051132761,0.055301953,0.009702097,4.238600013
