Order,PA,G,PA_per_G
1,10080,2154,4.67966573816156
2,9843,2154,4.569637883008356
3,9625,2154,4.468430826369545
4,9414,2154,4.370473537604457
5,9207,2154,4.274373259052925
6,8949,2154,4.154596100278551
7,8702,2154,4.039925719591458
8,8425,2154,3.9113277623026925
9,8168,2154,3.7920148560817086
